product,organic,avg_combined_mrl_ratio,median_combined_mrl_ratio,p90_combined_mrl_ratio,p95_combined_mrl_ratio,avg_substances_found,median_substances_found,p90_substances_found,p95_substances_found,samples
Canned or jarred apple,0,0.0085,0.0085,0.0085,0.0085,1.0,1.0,1.0,1.0,1
Canned or jarred apple,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Canned or jarred chickpea,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
Canned or jarred common beans,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Canned or jarred common beans,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Canned or jarred fruit,0,0.3902,0.0,0.9805999999999999,0.9907999999999999,1.0,0.0,2.8000000000000003,3.3999999999999995,5
Canned or jarred fruit,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Canned or jarred peach,0,0.07637142857142856,0.104,0.1114,0.1134,0.7857142857142857,1.0,1.0,1.0,14
Canned or jarred pear,0,0.005756666666666668,0.0,0.0,0.02590499999999991,0.2,0.0,0.0,0.8999999999999968,15
Canned or jarred peas,0,0.025944444444444447,0.015,0.07450000000000001,0.0865,0.8333333333333334,1.0,1.0,1.0,18
Canned or jarred pineapple,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14
Canned or jarred plum,0,0.014833333333333334,0.0055,0.035433333333333324,0.055383333333333305,0.875,1.0,2.0,2.0,8
Canned or jarred plum,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Canned or jarred sour cherry,0,0.02647666666666667,0.016300000000000002,0.038526666666666695,0.059950000000000114,1.2,1.0,2.0,2.1000000000000014,20
Canned or jarred sweet cherry,0,0.1846,0.1846,0.1846,0.1846,4.0,4.0,4.0,4.0,1
Canned/jarred vegetables,0,20.752167326007324,0.0,2.880000000000003,116.5439999999997,1.1692307692307693,0.0,2.0,3.5999999999999943,65
Canned/jarred vegetables,1,0.024666666666666663,0.0,0.06166666666666666,0.06916666666666664,0.4,0.0,1.0,1.0,10
